Iteration;NPV;Launched;ExecutionPath
0;309,415592;1;0
1;-57,04415751;0;1
2;-65,02934306;0;1
3;301,9670268;1;0
4;-53,0643326;0;1
5;-2,882836098;0;2
6;-60,53235041;0;3
7;159,4188391;1;0
8;-59,9066095;0;1
9;400,9266346;1;0
10;391,4976733;1;0
11;220,5891392;1;0
12;-58,78385377;0;1
13;444,5052979;1;0
14;102,9453056;1;0
15;413,3247602;1;0
16;105,1540103;1;0
17;-2,873808038;0;2
18;212,22794;1;0
19;370,6565846;1;4
20;-2,970109909;0;2
21;-22,31654412;0;5
22;-22,06448328;0;6
23;-62,93535391;0;1
24;-63,35231866;0;1
25;-61,6553506;0;1
26;-54,19671711;0;1
27;-61,16042801;0;1
28;423,8750729;1;4
29;279,8637964;1;0
30;-61,94921237;0;1
31;196,139192;1;0
32;-58,20933447;0;1
33;271,5778674;1;0
34;238,139576;1;0
35;-3,067253632;0;2
36;-23,80551818;0;5
37;141,3506701;1;0
38;-58,74472916;0;3
39;-2,667291205;0;2
40;-58,73053316;0;1
41;-2,885274288;0;2
42;-60,17084071;0;1
43;-63,36258961;0;3
44;-69,03750095;0;1
45;-60,09854596;0;1
46;513,8385975;1;4
47;-61,72387947;0;1
48;-2,744977169;0;2
49;-17,75121975;0;5
50;-68,1325165;0;3
51;-66,48707065;0;3
52;257,586075;1;0
53;272,9818506;1;0
54;471,6836825;1;4
55;-58,09006574;0;1
56;-55,46631967;0;1
57;-64,03356173;0;1
58;-58,06776392;0;1
59;-20,52195312;0;5
60;-21,52587502;0;7
61;-2,781202591;0;2
62;-59,2089984;0;1
63;-60,54065206;0;1
64;-60,27324892;0;1
65;-64,42530295;0;1
66;258,3737366;1;0
67;-56,98386296;0;1
68;-60,23584516;0;3
69;-58,44152823;0;1
70;516,980996;1;4
71;-22,70001668;0;5
72;348,6778935;1;4
73;-62,17656011;0;1
74;247,3471282;1;0
75;181,641813;1;0
76;-65,77264378;0;1
77;-2,931906932;0;2
78;-57,82103468;0;1
79;-61,97804193;0;1
80;-63,73217908;0;1
81;78,98526894;1;0
82;386,0810201;1;4
83;-57,715364;0;1
84;-59,35649856;0;1
85;166,7718195;1;0
86;-62,74793986;0;3
87;299,4339438;1;4
88;318,3054754;1;0
89;342,9805898;1;4
90;-59,777242;0;1
91;270,4425076;1;0
92;-3,057371115;0;2
93;-62,81145365;0;1
94;-51,56898275;0;1
95;-19,36759064;0;5
96;174,9762139;1;0
97;-22,41757817;0;5
98;199,5131387;1;0
99;-22,54346374;0;5
100;179,8532109;1;0
101;-61,18048509;0;1
102;-62,63098891;0;1
103;-63,64587906;0;1
104;-63,21230905;0;1
105;267,3675936;1;4
106;-2,79536675;0;2
107;-2,750800253;0;2
108;284,3797587;1;0
109;98,45775411;1;0
110;-58,44707321;0;1
111;-60,03700996;0;1
112;356,7113685;1;0
113;-2,945229638;0;2
114;95,34761863;1;0
115;-2,993078504;0;2
116;-23,8153825;0;5
117;301,4518259;1;4
118;-59,20845589;0;3
119;219,0893722;1;0
120;460,74639;1;4
121;-61,80074081;0;1
122;174,7125943;1;0
123;352,5869515;1;4
124;-21,00463408;0;5
125;-22,04221662;0;5
126;-67,17768744;0;1
127;-58,88771514;0;1
128;370,785837;1;8
129;-22,14820625;0;7
130;-56,70040846;0;1
131;475,5546971;1;0
132;-58,22816622;0;1
133;261,5074943;1;0
134;-60,17026377;0;1
135;406,534489;1;4
136;-57,28755475;0;1
137;-57,97333576;0;1
138;-62,09062353;0;1
139;-57,21321031;0;1
140;506,4180516;1;0
141;-21,29858398;0;5
142;-53,47370119;0;1
143;197,3694495;1;0
144;-62,19569989;0;1
145;-61,69174256;0;3
146;-55,98059025;0;1
147;-18,41325178;0;5
148;-3,052783651;0;2
149;-58,70396795;0;1
150;648,5160319;1;0
151;-52,53225363;0;1
152;-56,77420632;0;1
153;-60,24246644;0;1
154;-60,19696166;0;1
155;-60,29100391;0;1
156;-23,76758218;0;7
157;369,0065989;1;0
158;-2,935152325;0;2
159;-60,12778287;0;1
160;-66,24765208;0;1
161;370,2572863;1;0
162;-2,742499488;0;2
163;204,2762554;1;0
164;238,1802792;1;0
165;-60,09038175;0;1
166;-22,05370782;0;7
167;-55,00614711;0;1
168;350,6557154;1;8
169;166,3976724;1;0
170;396,0168953;1;0
171;-58,13133109;0;1
172;-57,55537541;0;1
173;409,494853;1;0
174;-57,33506286;0;1
175;-3,03295404;0;2
176;-2,974312512;0;2
177;-63,09787509;0;1
178;-54,91743883;0;1
179;-57,3438994;0;1
180;174,2221054;1;0
181;-2,858710063;0;2
182;-62,82108817;0;1
183;-20,18692642;0;5
184;-2,907169967;0;2
185;-59,84847902;0;1
186;152,46378;1;0
187;-63,3470303;0;3
188;-20,03029318;0;5
189;-59,81759467;0;1
190;171,4344684;1;0
191;206,0505272;1;0
192;390,8404235;1;0
193;-57,68176316;0;1
194;85,51480004;1;0
195;-61,60904785;0;1
196;-22,68886754;0;5
197;-57,76985895;0;1
198;-61,78155933;0;1
199;-60,86014028;0;1
200;55,87045394;1;0
201;-60,82034807;0;1
202;53,93808491;1;0
203;246,2356804;1;0
204;445,390793;1;4
205;-61,58232278;0;1
206;-2,835566867;0;2
207;-21,67710922;0;5
208;119,4423928;1;0
209;-2,835943967;0;2
210;170,7948345;1;0
211;-21,64993062;0;5
212;297,7431865;1;4
213;213,0823924;1;0
214;304,0522294;1;4
215;372,017656;1;0
216;-21,41381159;0;7
217;147,7674593;1;0
218;185,6661048;1;0
219;311,3386817;1;8
220;304,8298638;1;0
221;193,773747;1;0
222;198,8685667;1;0
223;-55,10036363;0;1
224;382,3390956;1;0
225;-60,3849471;0;1
226;-61,04842368;0;1
227;-2,978504621;0;2
228;-2,795089121;0;2
229;-59,2722498;0;1
230;-20,95573289;0;5
231;267,7177632;1;0
232;-2,662040341;0;2
233;-22,30418822;0;5
234;306,9520105;1;4
235;-55,43751571;0;1
236;167,6545419;1;0
237;-61,08447509;0;1
238;-62,81398195;0;1
239;348,3470873;1;4
240;-2,713716016;0;2
241;-61,24588559;0;1
242;-61,61776134;0;3
243;-2,832981214;0;2
244;-61,08975691;0;1
245;-59,3200597;0;1
246;-62,81566276;0;1
247;-23,61815302;0;5
248;-2,770380836;0;2
249;-23,04364752;0;5
250;-17,86256881;0;5
251;-62,293772;0;3
252;-18,24207917;0;5
253;-22,51852503;0;5
254;-62,27104091;0;1
255;585,88203;1;0
256;-60,7484436;0;1
257;-2,787550412;0;2
258;-3,033505036;0;2
259;-22,27342202;0;7
260;398,8958401;1;0
261;-60,81333715;0;1
262;299,5908057;1;0
263;-55,93213432;0;1
264;-58,77457202;0;1
265;214,7162264;1;0
266;356,361028;1;0
267;-57,46099355;0;1
268;-61,93717721;0;1
269;-3,027605211;0;2
270;184,9806368;1;0
271;317,2976007;1;0
272;-65,22432329;0;1
273;-62,85037818;0;1
274;-60,88829031;0;1
275;329,1108475;1;4
276;-58,32801155;0;1
277;-2,70194219;0;2
278;-62,08493152;0;1
279;-63,54951035;0;1
280;-23,47987948;0;5
281;-62,35085715;0;1
282;105,6775818;1;0
283;-21,06610413;0;5
284;299,1152005;1;0
285;-19,2853255;0;5
286;443,7164401;1;4
287;424,5065216;1;4
288;86,1347653;1;0
289;-55,94552028;0;1
290;-24,08605128;0;5
291;193,6404629;1;0
292;274,3753732;1;0
293;-2,725810757;0;2
294;-59,10743037;0;1
295;-21,57888043;0;5
296;98,68508153;1;0
297;234,0202216;1;0
298;-57,19966435;0;1
299;-65,79758107;0;1
300;326,1531452;1;4
301;-62,31674173;0;1
302;-64,70307469;0;3
303;303,5773849;1;0
304;-65,62508841;0;1
